fil,X,Y,Z,minus end point,min_end,ydir,zdir,length,relative_angle,relative_angle_90,dot_product
62,1519,913,125,first,1,-80.38416951686344,4.934823825111383,302.24658807007233,97.45506917727614,-7.455069177276141,-0.12974867023463468
66,1326,740,118,first,1,-42.55836041515815,-5.336038165302296,118.28355760628779,86.79606993682019,3.2039300631798078,0.05588999045214198
67,1225,637,127,last,-1,-60.132170524809794,-2.8403377163007497,40.36087214122113,90.39687054579653,-0.3968705457965322,-0.006926642338967753
72,1073,1097,146,first,1,68.45687244115108,-3.5012256945861315,212.87085286623906,84.41986024339744,5.58013975660256,0.09723792157652737
73,1062,1055,81,first,1,59.19447695776233,-0.18570579156990819,308.53038748233536,87.38468126831381,2.6153187316861852,0.045630073579059405
74,1247,1339,85,first,1,39.52907211049283,-0.7013064639164848,81.70067319184096,87.26623324741973,2.7337667525802676,0.047695129263013336
75,980,1000,171,first,1,80.51122989078137,6.926606043846463,232.1766568800576,94.33324838947112,-4.333248389471125,-0.07555737458715095
79,1317,1243,99,first,1,59.0479468180472,-4.4462008220995575,206.39040675380238,83.7488441476395,6.251155852360493,0.10888692835512719
80,1044,1171,138,last,-1,-71.8812707494144,-2.763266926492129,145.19986225888783,90.22380218547089,-0.22380218547088562,-0.003906075076784775
81,959,1018,157,last,-1,-75.60136401350924,-0.9173295442840992,124.92397688194208,88.66652632221084,1.3334736777891525,0.02327140518361117
83,1023,754,157,last,-1,-88.83428362939698,1.6486856770174672,139.02877400020472,85.86107468885821,4.13892531114179,0.07217506395482648
84,998,829,209,last,-1,-77.11563367237417,11.065664770566041,197.9848479050859,76.6001095771566,13.3998904228434,0.2317460430772133
90,954,667,151,first,1,76.6132550934766,2.4175855035688603,379.30594511554915,89.8698366320969,0.13016336790309335,0.002271777381292389
97,861,746,127,first,1,-65.24752979138589,-9.577066197253162,144.25324953012324,83.0409605692257,6.9590394307742915,0.12115974425908739
99,774,620,127,first,1,74.45207682150776,0.5611183138267473,816.8928938361504,88.01743366985092,1.9825663301490797,0.03459540550810676
101,974,938,141,first,1,76.63681106966013,-1.8793641200112223,91.47677300823418,85.57565454775295,4.424345452247049,0.07714267717793105
102,892,964,148,first,1,83.64761618787404,-8.02503522719657,300.84713726409296,79.65168403685148,10.34831596314853,0.17963183477574937
103,1435,665,103,first,1,87.61935785793918,-3.181987025529713,90.07774419910837,84.35965342842502,5.640346571574975,0.09828369525093733
104,897,1058,130,first,1,71.35790893768228,8.670046037776247,139.30900904105232,96.02904595418279,-6.029045954182787,-0.1050326202376048
119,1052,1161,76,last,-1,-73.5308810795068,-0.9412857987869235,486.9794656861827,88.39933376978858,1.6006662302114125,0.027933262098898844
120,876,739,93,last,-1,-83.52181187881604,2.910080015426741,137.88038294115665,84.56739337410248,5.4326066258975185,0.09467486537374145
121,825,959,103,last,-1,67.92471356804131,-0.7175251473568396,239.5621005084068,93.23418563931702,-3.234185639317023,-0.05641721666364012
122,998,1418,140,last,-1,,1.5084802923489211,37.986839826445156,86.03435333781951,3.965646662180485,0.06915834293137069
126,1528,969,116,first,1,57.776866726627354,4.280831619793325,80.38034585643433,92.48782123994052,-2.4878212399405184,-0.04340702922919996
129,945,618,95,first,1,64.4792995040686,-0.7954934381188378,72.02777242147643,86.71506313419236,3.284936865807632,0.057301559624482135
136,1078,630,113,last,-1,-68.39194761345405,-1.9028248977495859,30.116440692751194,89.38316900137585,0.6168309986241564,0.010765523895745067
141,1195,598,113,last,-1,,,0.0,,,
154,913,873,85,last,-1,-68.01592023364935,0.40098201642699816,285.7796353836291,87.08181961612674,2.918180383873257,0.05090983872466401
156,1035,1036,86,first,1,81.21789386936686,-1.5101495149745794,151.7794452486897,85.95353967672519,4.046460323274809,0.07056536105788944
158,1085,1277,99,last,-1,69.94590837252474,1.312844066676605,87.29261137118078,91.21617488498333,-1.2161748849833345,-0.02122466213003245
163,859,1416,162,last,-1,-89.66960289185225,-0.32053217204250456,715.0118880130595,87.84772923197293,2.1522707680270625,0.03755537763134845
164,895,1355,92,last,-1,-26.175923508913936,-3.371921670669773,136.01470508735443,91.74152617779464,-1.741526177794645,-0.03039068575875635
167,776,851,96,first,1,71.02901021378965,9.992535251101122,115.26057435220423,97.29683542144186,-7.296835421441862,-0.1270098237809909
178,842,1088,138,first,1,44.22524632169471,-4.085674327989396,266.6739582336453,83.7732813076976,6.2267186923024,0.1084629455227854
179,775,1071,136,first,1,89.39290258456384,-0.9152555890141144,313.0175713917671,86.61147935935827,3.3885206406417314,0.05910637242524613
188,1530,887,104,first,1,-80.71958026827859,-0.614640359119659,186.44033898274267,91.9238304040031,-1.9238304040031007,-0.03357086585509939
202,782,1032,98,last,-1,68.82726799700198,-4.099649612364451,321.717267177253,96.61256232360144,-6.612562323601439,-0.11515494858997741
213,1098,1199,116,last,-1,-68.42287919438074,4.411029402119741,429.0675937425244,83.08315534450934,6.9168446554906575,0.12042869903514777
226,1571,626,140,last,-1,,,0.0,,,
241,965,613,105,last,-1,76.41941793730156,-2.0767596243190343,469.1161902983098,94.34227851085862,-4.342278510858616,-0.07571452847632715
251,838,1379,146,last,-1,-72.64603038818835,-2.1311806502684107,161.34435224078965,89.5905858633718,0.40941413662820536,0.007145563879318299
261,824,614,132,first,1,66.42363992379846,9.720036613667729,41.46082488325576,97.04312484869997,-7.043124848699968,-0.12261636912105514
263,1437,851,115,last,-1,-71.71865879702737,-0.0,235.90676124265704,87.46365032551809,2.53634967448191,0.0442531962176653
279,841,1413,186,last,-1,-68.19859051364818,-0.0,48.46648326421054,87.92209849328582,2.077901506714184,0.036258273555813396
280,899,1417,131,last,-1,-86.93720456272752,-1.9974005997993012,573.8196580808294,89.55525831293653,0.4447416870634646,0.0077621288124755244
282,1042,1409,129,last,-1,-79.29982118442678,0.20660423832984012,554.6440299868016,87.25103324874293,2.748966751257069,0.047960115688716005
294,987,1425,159,last,-1,-61.26466830721939,-9.533671530252748,102.64014809030625,96.96125457338415,-6.9612545733841475,-0.12119812088181652
299,1202,618,153,first,1,22.715444083057427,9.525983717769739,271.91175038971744,97.88345833152869,-7.883458331528682,-0.13715857371481516
310,1478,1105,112,last,-1,30.490806891855417,-3.4447981814364392,149.78317662541411,95.2051492110074,-5.205149211007398,-0.09072208064569126
314,1002,672,197,first,1,23.18843637369316,-4.516792869650803,190.47309521294602,85.0695823621358,4.930417637864192,0.08594585876874747
331,889,632,95,last,-1,79.40315443031085,-3.165578082230436,181.08837621448816,95.70363468124462,-5.703634681244617,-0.09938287303815625
357,1599,654,121,last,-1,23.073104512106887,17.093324940618338,122.47856955402443,74.09558930012992,15.90441069987009,0.2740332539144111
369,868,948,111,last,-1,-44.34670769321479,7.014134458325552,237.48263094382293,81.74157270118835,8.25842729881166,0.1436381824332536
370,875,1084,78,first,1,-84.07837914110789,-1.7499664832159143,458.44628911138545,90.7738201847448,-0.773820184744802,-0.013505299462884365
372,797,698,84,first,1,67.38556044194276,0.8815430851111977,389.98461508115935,88.36847272452513,1.6315272754748587,0.028471674693915136
382,955,1351,88,last,-1,-64.78423481231503,-1.299622615096507,396.8122981965151,88.80726520324666,1.1927347967533348,0.020815645807564617
